# EDUK2 solver execution report
# generated_at: 2026-08-24T13:32:24-03:00
instance	algorithm	status	runs	elapsed_seconds	profit	weight	optimal	verified	states_scanned	points_generated	bb_nodes	details
sc_a5n10000wmin10000-16-c2396292.ukp	faithful	ok	1	0,009164	2397487,000000	2396292,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
sc_a5n10000wmin10000-16-c2396292.ukp	ocaml_pyasukpt	ok	1	0,010407	2397487,000000		0,000000			1,000000	0,000000	Saw ukp          0 false          1          1 false         2397487    0.00254 0
sc_a-5n10000wmin10000-16-c7075896.ukp	faithful	ok	1	0,009616	7074126,000000	7075896,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
sc_a-5n10000wmin10000-16-c7075896.ukp	ocaml_pyasukpt	ok	1	0,009626	7074126,000000		0,000000			1,000000	0,000000	Not a Saw ukp          0 false          1          1 false         7074126    0.00287 0
sc_a-5n10000wmin10000-17-c3113635.ukp	faithful	ok	1	0,016238	3112855,000000	3113635,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
sc_a-5n10000wmin10000-17-c3113635.ukp	ocaml_pyasukpt	ok	1	2,017112	3112855,000000		0,000000			12359,000000	10001,000000	Not a Saw ukp       6210 true          1      12359 false         3112855    2.00961 10001
sc_a5n10000wmin10000-17-c6726204.ukp	faithful	ok	1	0,008870	6729564,000000	6726204,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
sc_a5n10000wmin10000-17-c6726204.ukp	ocaml_pyasukpt	ok	1	0,010576	6729564,000000		0,000000			1,000000	0,000000	Saw ukp          0 false          1          1 false         6729564    0.00313 0
sc_a5n10000wmin10000-18-c7262586.ukp	faithful	ok	1	0,008563	7266216,000000	7262586,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
sc_a5n10000wmin10000-18-c7262586.ukp	ocaml_pyasukpt	ok	1	0,011083	7266216,000000		0,000000			1,000000	0,000000	Saw ukp          0 false          1          1 false         7266216    0.00279 0
sc_a-5n10000wmin10000-18-c7595045.ukp	faithful	ok	1	0,012708	7593145,000000	7595045,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
sc_a-5n10000wmin10000-18-c7595045.ukp	ocaml_pyasukpt	ok	1	1,247724	7593145,000000		0,000000			9108,000000	10001,000000	Not a Saw ukp       4576 true          1       9108 false         7593145    1.23660 10001
sc_a5n10000wmin10000-19-c2075673.ukp	faithful	ok	1	0,007749	2076708,000000	2075673,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
sc_a5n10000wmin10000-19-c2075673.ukp	ocaml_pyasukpt	ok	1	0,008752	2076708,000000		0,000000			1,000000	0,000000	Saw ukp          0 false          1          1 false         2076708    0.00098 0
sc_a-5n10000wmin10000-19-c7418686.ukp	faithful	ok	1	0,010344	7416831,000000	7418686,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
sc_a-5n10000wmin10000-19-c7418686.ukp	ocaml_pyasukpt	ok	1	0,008644	7416831,000000		0,000000			1,000000	0,000000	Not a Saw ukp          0 false          1          1 false         7416831    0.00181 0
sc_a-5n10000wmin10000-1-c5766266.ukp	faithful	ok	1	0,268761	5764821,000000	5766266,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
sc_a-5n10000wmin10000-1-c5766266.ukp	ocaml_pyasukpt	ok	1	9,188115	5764821,000000		0,000000			39792,000000	10001,000000	Not a Saw ukp      10000 true          1      39792 false         5764821    9.17657 10001
sc_a5n10000wmin10000-1-c8848039.ukp	faithful	ok	1	0,008342	8852459,000000	8848039,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
sc_a5n10000wmin10000-1-c8848039.ukp	ocaml_pyasukpt	ok	1	0,010109	8852459,000000		0,000000			1,000000	0,000000	Saw ukp          0 false          1          1 false         8852459    0.00197 0
sc_a-5n10000wmin10000-2-c6653274.ukp	faithful	ok	1	0,023730	6651609,000000	6653274,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
