# EDUK2 solver execution report
# generated_at: 2026-08-24T21:16:47-03:00
# primary_time: internal_seconds (average over successful runs)
instance	algorithm	status	runs	internal_seconds	profit	weight	optimal	verified	states_scanned	points_generated	bb_nodes	details
nsds2_n20000wmin20000-113-s47721841c1790160.ukp	faithful	ok	1	0.172109	2239899.000000	1790159.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.186236 last_stop_reason=
nsds2_n20000wmin20000-113-s47721841c1790160.ukp	ukp5	ok	1	0.535440	2239899.000000	1790159.000000	1					elapsed_seconds=0.566582
nsds2_n20000wmin20000-114-s981619751c1457662.ukp	faithful	ok	1	0.046827	1838400.000000	1457662.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.053173 last_stop_reason=
nsds2_n20000wmin20000-114-s981619751c1457662.ukp	ukp5	ok	1	0.368859	1838400.000000	1457662.000000	1					elapsed_seconds=0.398171
nsds2_n20000wmin20000-115-s11371460c1659902.ukp	faithful	ok	1	0.179146	2078600.000000	1659898.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.185250 last_stop_reason=
nsds2_n20000wmin20000-115-s11371460c1659902.ukp	ukp5	ok	1	0.601369	2078600.000000	1659898.000000	1					elapsed_seconds=0.630759
nsds2_n20000wmin20000-116-s405621139c1649266.ukp	faithful	ok	1	0.100531	2063116.000000	1649202.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.114826 last_stop_reason=
nsds2_n20000wmin20000-116-s405621139c1649266.ukp	ukp5	ok	1	0.527793	2063116.000000	1649202.000000	1					elapsed_seconds=0.558283
nsds2_n20000wmin20000-117-s207178132c1732003.ukp	faithful	ok	1	0.120209	2169695.000000	1731990.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.134808 last_stop_reason=
nsds2_n20000wmin20000-117-s207178132c1732003.ukp	ukp5	ok	1	0.753984	2169695.000000	1731990.000000	1					elapsed_seconds=0.784198
nsds2_n20000wmin20000-118-s19360487c1745870.ukp	faithful	ok	1	0.039128	2185560.000000	1745855.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.053373 last_stop_reason=
nsds2_n20000wmin20000-118-s19360487c1745870.ukp	ukp5	ok	1	0.641237	2185560.000000	1745855.000000	1					elapsed_seconds=0.671094
nsds2_n20000wmin20000-119-s291809797c1601224.ukp	faithful	ok	1	0.160882	1999044.000000	1601179.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.167217 last_stop_reason=
nsds2_n20000wmin20000-119-s291809797c1601224.ukp	ukp5	ok	1	0.606566	1999044.000000	1601179.000000	1					elapsed_seconds=0.636697
nsds2_n20000wmin20000-11-s577782098c1871029.ukp	faithful	ok	1	0.013361	2366032.000000	1870991.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.027369 last_stop_reason=
nsds2_n20000wmin20000-11-s577782098c1871029.ukp	ukp5	ok	1	0.428845	2366032.000000	1870991.000000	1					elapsed_seconds=0.461649
nsds2_n20000wmin20000-120-s53290165c1825318.ukp	faithful	ok	1	0.107325	2300396.000000	1825307.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.121662 last_stop_reason=
nsds2_n20000wmin20000-120-s53290165c1825318.ukp	ukp5	ok	1	0.487211	2300396.000000	1825307.000000	1					elapsed_seconds=0.517158
nsds2_n20000wmin20000-121-s611080474c1471487.ukp	faithful	ok	1	0.021721	1850716.000000	1471469.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.028087 last_stop_reason=
nsds2_n20000wmin20000-121-s611080474c1471487.ukp	ukp5	ok	1	0.377552	1850716.000000	1471469.000000	1					elapsed_seconds=0.405301
nsds2_n20000wmin20000-122-s637657677c1056039.ukp	faithful	ok	1	0.018259	1328440.000000	1056030.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.024726 last_stop_reason=
nsds2_n20000wmin20000-122-s637657677c1056039.ukp	ukp5	ok	1	0.374354	1328440.000000	1056030.000000	1					elapsed_seconds=0.401583
nsds2_n20000wmin20000-123-s217583718c1142879.ukp	faithful	ok	1	0.052495	1434757.000000	1142838.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.059194 last_stop_reason=
nsds2_n20000wmin20000-123-s217583718c1142879.ukp	ukp5	ok	1	0.600563	1434757.000000	1142838.000000	1					elapsed_seconds=0.628107
nsds2_n20000wmin20000-124-s345851317c1186038.ukp	faithful	ok	1	0.211539	1483714.000000	1186038.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.218336 last_stop_reason=
nsds2_n20000wmin20000-124-s345851317c1186038.ukp	ukp5	ok	1	0.654170	1483714.000000	1186038.000000	1					elapsed_seconds=0.681635
nsds2_n20000wmin20000-125-s342662718c1086673.ukp	faithful	ok	1	0.022263	1361144.000000	1086671.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.029029 last_stop_reason=
nsds2_n20000wmin20000-125-s342662718c1086673.ukp	ukp5	ok	1	0.585943	1361144.000000	1086671.000000	1					elapsed_seconds=0.612690
nsds2_n20000wmin20000-126-s760619917c1864729.ukp	faithful	ok	1	0.145922	2352051.000000	1864728.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.160637 last_stop_reason=
nsds2_n20000wmin20000-126-s760619917c1864729.ukp	ukp5	ok	1	0.733714	2352051.000000	1864728.000000	1					elapsed_seconds=0.763492
nsds2_n20000wmin20000-127-s583556376c1780263.ukp	faithful	ok	1	0.026023	2285958.000000	1780261.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.032082 last_stop_reason=
nsds2_n20000wmin20000-127-s583556376c1780263.ukp	ukp5	ok	1	0.227771	2285958.000000	1780261.000000	1					elapsed_seconds=0.257924
nsds2_n20000wmin20000-128-s633218386c1777755.ukp	faithful	ok	1	0.029244	2233677.000000	1777751.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.035390 last_stop_reason=
nsds2_n20000wmin20000-128-s633218386c1777755.ukp	ukp5	ok	1	0.540975	2233677.000000	1777751.000000	1					elapsed_seconds=0.569780
nsds2_n20000wmin20000-129-s676563793c1421878.ukp	faithful	ok	1	0.033169	1802758.000000	1421855.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.047912 last_stop_reason=
nsds2_n20000wmin20000-129-s676563793c1421878.ukp	ukp5	ok	1	0.424833	1802758.000000	1421855.000000	1					elapsed_seconds=0.460830
nsds2_n20000wmin20000-12-s774727805c1448211.ukp	faithful	ok	1	0.079869	1810936.000000	1448205.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.086195 last_stop_reason=
nsds2_n20000wmin20000-12-s774727805c1448211.ukp	ukp5	ok	1	0.914960	1810936.000000	1448205.000000	1					elapsed_seconds=0.953630
nsds2_n20000wmin20000-130-s467683630c1851781.ukp	faithful	ok	1	0.032740	2360954.000000	1851778.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.048529 last_stop_reason=
nsds2_n20000wmin20000-130-s467683630c1851781.ukp	ukp5	ok	1	0.418874	2360954.000000	1851778.000000	1					elapsed_seconds=0.461498
nsds2_n20000wmin20000-131-s367303549c1245931.ukp	faithful	ok	1	0.024192	1560027.000000	1245925.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.030908 last_stop_reason=
nsds2_n20000wmin20000-131-s367303549c1245931.ukp	ukp5	ok	1	0.634904	1560027.000000	1245925.000000	1					elapsed_seconds=0.669902
nsds2_n20000wmin20000-132-s127422697c1298308.ukp	faithful	ok	1	0.029455	1650861.000000	1298307.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.035401 last_stop_reason=
