# EDUK2 solver execution report
# generated_at: 2026-08-24T21:13:28-03:00
# primary_time: internal_seconds (average over successful runs)
instance	algorithm	status	runs	internal_seconds	profit	weight	optimal	verified	states_scanned	points_generated	bb_nodes	details
ss2_wmin100000wmax1000000n10000-4-s721215008c7136910.ukp	faithful	ok	1	0.011694	7136910.000000	7136910.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.016324 last_stop_reason=
ss2_wmin100000wmax1000000n10000-4-s721215008c7136910.ukp	ukp5	ok	1	0.024443	7136910.000000	7136910.000000	1					elapsed_seconds=0.058730
ss2_wmin100000wmax1000000n10000-5-s110877071c6459412.ukp	faithful	ok	1	0.012456	6459412.000000	6459412.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.018672 last_stop_reason=
ss2_wmin100000wmax1000000n10000-5-s110877071c6459412.ukp	ukp5	ok	1	0.021676	6459412.000000	6459412.000000	1					elapsed_seconds=0.054879
ss2_wmin100000wmax1000000n10000-6-s227708629c9211375.ukp	faithful	ok	1	0.063426	9211375.000000	9211375.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.068564 last_stop_reason=
ss2_wmin100000wmax1000000n10000-6-s227708629c9211375.ukp	ukp5	ok	1	0.022052	9211375.000000	9211375.000000	1					elapsed_seconds=0.060336
ss2_wmin100000wmax1000000n10000-7-s177710744c9999614.ukp	faithful	ok	1	0.012777	9999614.000000	9999614.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.018173 last_stop_reason=
ss2_wmin100000wmax1000000n10000-7-s177710744c9999614.ukp	ukp5	ok	1	0.023472	9999614.000000	9999614.000000	1					elapsed_seconds=0.064952
ss2_wmin100000wmax1000000n10000-8-s991580855c8487765.ukp	faithful	ok	1	0.013489	8487765.000000	8487765.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.018169 last_stop_reason=
ss2_wmin100000wmax1000000n10000-8-s991580855c8487765.ukp	ukp5	ok	1	0.021340	8487765.000000	8487765.000000	1					elapsed_seconds=0.058422
ss2_wmin100000wmax1000000n10000-9-s126456688c8117372.ukp	faithful	ok	1	0.011717	8117372.000000	8117372.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.016636 last_stop_reason=
ss2_wmin100000wmax1000000n10000-9-s126456688c8117372.ukp	ukp5	ok	1	0.022382	8117372.000000	8117372.000000	1					elapsed_seconds=0.058717
ss2_wmin100000wmax1000000n20000-0-s827183242c5977860.ukp	faithful	ok	1	0.022027	5977860.000000	5977860.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.028930 last_stop_reason=
ss2_wmin100000wmax1000000n20000-0-s827183242c5977860.ukp	ukp5	ok	1	0.023057	5977860.000000	5977860.000000	1					elapsed_seconds=0.061116
ss2_wmin100000wmax1000000n20000-1-s843367405c8281874.ukp	faithful	ok	1	0.022403	8281874.000000	8281874.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.028592 last_stop_reason=
ss2_wmin100000wmax1000000n20000-1-s843367405c8281874.ukp	ukp5	ok	1	0.023575	8281874.000000	8281874.000000	1					elapsed_seconds=0.067106
ss2_wmin100000wmax1000000n20000-2-s528806317c5753656.ukp	faithful	ok	1	0.026396	5753656.000000	5753656.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.032749 last_stop_reason=
ss2_wmin100000wmax1000000n20000-2-s528806317c5753656.ukp	ukp5	ok	1	0.023565	5753656.000000	5753656.000000	1					elapsed_seconds=0.061347
ss2_wmin100000wmax1000000n20000-3-s780179313c9830532.ukp	faithful	ok	1	0.020616	9830532.000000	9830532.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.025855 last_stop_reason=
ss2_wmin100000wmax1000000n20000-3-s780179313c9830532.ukp	ukp5	ok	1	0.023827	9830532.000000	9830532.000000	1					elapsed_seconds=0.071831
ss2_wmin100000wmax1000000n20000-4-s721215008c9947444.ukp	faithful	ok	1	0.020622	9947444.000000	9947444.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.026937 last_stop_reason=
ss2_wmin100000wmax1000000n20000-4-s721215008c9947444.ukp	ukp5	ok	1	0.023474	9947444.000000	9947444.000000	1					elapsed_seconds=0.071297
ss2_wmin100000wmax1000000n20000-5-s110877071c7223736.ukp	faithful	ok	1	0.019964	7223736.000000	7223736.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.026573 last_stop_reason=
ss2_wmin100000wmax1000000n20000-5-s110877071c7223736.ukp	ukp5	ok	1	0.023170	7223736.000000	7223736.000000	1					elapsed_seconds=0.065565
ss2_wmin100000wmax1000000n20000-6-s227708629c5564950.ukp	faithful	ok	1	0.019006	5564950.000000	5564950.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.025967 last_stop_reason=
ss2_wmin100000wmax1000000n20000-6-s227708629c5564950.ukp	ukp5	ok	1	0.023490	5564950.000000	5564950.000000	1					elapsed_seconds=0.060396
ss2_wmin100000wmax1000000n20000-7-s177710744c5691642.ukp	faithful	ok	1	0.020625	5691642.000000	5691642.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.026867 last_stop_reason=
ss2_wmin100000wmax1000000n20000-7-s177710744c5691642.ukp	ukp5	ok	1	0.022551	5691642.000000	5691642.000000	1					elapsed_seconds=0.058546
ss2_wmin100000wmax1000000n20000-8-s991580855c8563122.ukp	faithful	ok	1	0.029961	8563122.000000	8563122.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.036775 last_stop_reason=
ss2_wmin100000wmax1000000n20000-8-s991580855c8563122.ukp	ukp5	ok	1	0.022926	8563122.000000	8563122.000000	1					elapsed_seconds=0.066508
ss2_wmin100000wmax1000000n20000-9-s126456688c9319115.ukp	faithful	ok	1	0.019249	9319115.000000	9319115.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.025591 last_stop_reason=
ss2_wmin100000wmax1000000n20000-9-s126456688c9319115.ukp	ukp5	ok	1	0.024269	9319115.000000	9319115.000000	1					elapsed_seconds=0.072329
ss2_wmin100000wmax1000000n50000-0-s827183242c8631812.ukp	faithful	ok	1	0.068754	8631812.000000	8631812.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.076173 last_stop_reason=
ss2_wmin100000wmax1000000n50000-0-s827183242c8631812.ukp	ukp5	ok	1	0.054247	8631812.000000	8631812.000000	1					elapsed_seconds=0.126441
ss2_wmin100000wmax1000000n50000-1-s843367405c6537152.ukp	faithful	ok	1	0.087566	6537152.000000	6537152.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.105267 last_stop_reason=
ss2_wmin100000wmax1000000n50000-1-s843367405c6537152.ukp	ukp5	ok	1	0.045802	6537152.000000	6537152.000000	1					elapsed_seconds=0.111440
ss2_wmin100000wmax1000000n50000-2-s528806317c6020154.ukp	faithful	ok	1	0.012869	6020154.000000	6020154.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.021045 last_stop_reason=
ss2_wmin100000wmax1000000n50000-2-s528806317c6020154.ukp	ukp5	ok	1	0.052909	6020154.000000	6020154.000000	1					elapsed_seconds=0.117720
ss2_wmin100000wmax1000000n50000-3-s780179313c7801078.ukp	faithful	ok	1	0.013215	7801078.000000	7801078.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.020886 last_stop_reason=
ss2_wmin100000wmax1000000n50000-3-s780179313c7801078.ukp	ukp5	ok	1	0.046912	7801078.000000	7801078.000000	1					elapsed_seconds=0.118717
