# EDUK2 solver execution report
# generated_at: 2026-08-24T17:43:34-03:00
# primary_time: internal_seconds (average over successful runs)
instance	algorithm	status	runs	internal_seconds	profit	weight	optimal	verified	states_scanned	points_generated	bb_nodes	details
hi_n10000-114-s455861864c29391418.ukp	faithful	ok	1	0.095890	4272927082.000000	29391282.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.101165 last_stop_reason=
hi_n10000-114-s455861864c29391418.ukp	ukp5	ok	1	0.383940	4272927082.000000	29391282.000000	1					elapsed_seconds=0.551013
hi_n10000-115-s379824190c18555434.ukp	faithful	ok	1	0.121043	2543845350.000000	18555422.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.125806 last_stop_reason=
hi_n10000-115-s379824190c18555434.ukp	ukp5	ok	1	0.359238	2543845350.000000	18555422.000000	1					elapsed_seconds=0.474750
hi_n10000-116-s239745902c72714935.ukp	faithful	ok	1	0.252675	10634593223.000000	72714921.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.258931 last_stop_reason=
hi_n10000-116-s239745902c72714935.ukp	ukp5	ok	1	0.729992	10634593223.000000	72714921.000000	1					elapsed_seconds=1.103750
hi_n10000-117-s248366140c20581375.ukp	faithful	ok	1	0.161841	2992871549.000000	20581368.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.166864 last_stop_reason=
hi_n10000-117-s248366140c20581375.ukp	ukp5	ok	1	0.345217	2992871549.000000	20581368.000000	1					elapsed_seconds=0.471659
hi_n10000-118-s155606980c62289029.ukp	faithful	ok	1	0.084574	8283461875.000000	62289007.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.090158 last_stop_reason=
hi_n10000-118-s155606980c62289029.ukp	ukp5	ok	1	0.652344	8283461875.000000	62289007.000000	1					elapsed_seconds=0.972819
hi_n10000-119-s735284445c50409463.ukp	faithful	ok	1	0.128598	8160320476.000000	50409426.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.133893 last_stop_reason=
hi_n10000-119-s735284445c50409463.ukp	ukp5	ok	1	0.537244	8160320476.000000	50409426.000000	1					elapsed_seconds=0.802048
hi_n10000-11-s895832870c87027021.ukp	faithful	ok	1	0.364032	9488737552.000000	87027011.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.370785 last_stop_reason=
hi_n10000-11-s895832870c87027021.ukp	ukp5	ok	1	0.865039	9488737552.000000	87027011.000000	1					elapsed_seconds=1.331069
hi_n10000-120-s942541845c78856406.ukp	faithful	ok	1	0.163079	9120019953.000000	78856259.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.168343 last_stop_reason=
hi_n10000-120-s942541845c78856406.ukp	ukp5	ok	1	0.789491	9120019953.000000	78856259.000000	1					elapsed_seconds=1.222303
hi_n10000-121-s115898593c15235637.ukp	faithful	ok	1	0.049132	2023051543.000000	15235558.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.054209 last_stop_reason=
hi_n10000-121-s115898593c15235637.ukp	ukp5	ok	1	0.265889	2023051543.000000	15235558.000000	1					elapsed_seconds=0.361226
hi_n10000-122-s353625363c16342441.ukp	faithful	ok	1	0.095057	2478309628.000000	16342437.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.100413 last_stop_reason=
hi_n10000-122-s353625363c16342441.ukp	ukp5	ok	1	0.259606	2478309628.000000	16342437.000000	1					elapsed_seconds=0.355664
hi_n10000-123-s787365902c93358101.ukp	faithful	ok	1	0.168587	11645242786.000000	93357986.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.174297 last_stop_reason=
hi_n10000-123-s787365902c93358101.ukp	ukp5	ok	1	0.944777	11645242786.000000	93357986.000000	1					elapsed_seconds=1.416006
hi_n10000-124-s393407547c42815789.ukp	faithful	ok	1	0.283423	7615830825.000000	42815786.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.289410 last_stop_reason=
hi_n10000-124-s393407547c42815789.ukp	ukp5	ok	1	0.545841	7615830825.000000	42815786.000000	1					elapsed_seconds=0.791475
hi_n10000-125-s167176164c8803729.ukp	faithful	ok	1	0.064506	1211494284.000000	8803724.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.070311 last_stop_reason=
hi_n10000-125-s167176164c8803729.ukp	ukp5	ok	1	0.251402	1211494284.000000	8803724.000000	1					elapsed_seconds=0.324505
hi_n10000-126-s916049162c93220260.ukp	faithful	ok	1	0.996738	17578792616.000000	93220258.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=1.005601 last_stop_reason=
hi_n10000-126-s916049162c93220260.ukp	ukp5	ok	1	1.326590	17578792616.000000	93220258.000000	1					elapsed_seconds=1.844113
hi_n10000-127-s214618533c37264059.ukp	faithful	ok	1	0.059396	6821221893.000000	37264029.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.064311 last_stop_reason=
hi_n10000-127-s214618533c37264059.ukp	ukp5	ok	1	0.452764	6821221893.000000	37264029.000000	1					elapsed_seconds=0.670800
hi_n10000-128-s358804843c16123217.ukp	faithful	ok	1	0.031074	1655391205.000000	16122994.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.036191 last_stop_reason=
hi_n10000-128-s358804843c16123217.ukp	ukp5	ok	1	0.297044	1655391205.000000	16122994.000000	1					elapsed_seconds=0.405448
hi_n10000-129-s504746787c20350242.ukp	faithful	ok	1	0.137902	2552487627.000000	20350057.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.143436 last_stop_reason=
hi_n10000-129-s504746787c20350242.ukp	ukp5	ok	1	0.344110	2552487627.000000	20350057.000000	1					elapsed_seconds=0.466563
hi_n10000-12-s420935988c69330407.ukp	faithful	ok	1	0.089906	12052140762.000000	69330161.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.095811 last_stop_reason=
hi_n10000-12-s420935988c69330407.ukp	ukp5	ok	1	0.718466	12052140762.000000	69330161.000000	1					elapsed_seconds=1.066725
hi_n10000-130-s213005048c57131242.ukp	faithful	ok	1	0.284359	6378924310.000000	57131217.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.289654 last_stop_reason=
hi_n10000-130-s213005048c57131242.ukp	ukp5	ok	1	0.679001	6378924310.000000	57131217.000000	1					elapsed_seconds=1.019475
hi_n10000-131-s871698101c64359857.ukp	faithful	ok	1	0.205984	11731439974.000000	64359820.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.212233 last_stop_reason=
hi_n10000-131-s871698101c64359857.ukp	ukp5	ok	1	0.733646	11731439974.000000	64359820.000000	1					elapsed_seconds=1.134166
hi_n10000-132-s874105839c11054168.ukp	faithful	ok	1	0.031342	1684867692.000000	11054157.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.037086 last_stop_reason=
hi_n10000-132-s874105839c11054168.ukp	ukp5	ok	1	0.277061	1684867692.000000	11054157.000000	1					elapsed_seconds=0.363354
hi_n10000-133-s569207249c71860733.ukp	faithful	ok	1	0.421523	11384711528.000000	71860676.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.427951 last_stop_reason=
hi_n10000-133-s569207249c71860733.ukp	ukp5	ok	1	0.698089	11384711528.000000	71860676.000000	1					elapsed_seconds=1.048150
hi_n10000-134-s669547585c71177761.ukp	faithful	ok	1	0.240531	13758611990.000000	71177755.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.246833 last_stop_reason=
hi_n10000-134-s669547585c71177761.ukp	ukp5	ok	1	0.968802	13758611990.000000	71177755.000000	1					elapsed_seconds=1.380751
hi_n10000-135-s851758828c42011865.ukp	faithful	ok	1	0.203626	4708250029.000000	42011839.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.209552 last_stop_reason=
hi_n10000-135-s851758828c42011865.ukp	ukp5	ok	1	0.501746	4708250029.000000	42011839.000000	1					elapsed_seconds=0.744483
hi_n10000-136-s474992288c36686216.ukp	faithful	ok	1	0.205998	3783617971.000000	36686070.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.211858 last_stop_reason=
hi_n10000-136-s474992288c36686216.ukp	ukp5	ok	1	0.536645	3783617971.000000	36686070.000000	1					elapsed_seconds=0.741545
hi_n10000-137-s784804938c23772910.ukp	faithful	ok	1	0.145108	3594931368.000000	23772906.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.150683 last_stop_reason=
hi_n10000-137-s784804938c23772910.ukp	ukp5	ok	1	0.350292	3594931368.000000	23772906.000000	1					elapsed_seconds=0.487969
hi_n10000-138-s695516247c15085263.ukp	faithful	ok	1	0.037867	1862099100.000000	15077640.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.043746 last_stop_reason=
hi_n10000-138-s695516247c15085263.ukp	ukp5	ok	1	0.410432	1862099100.000000	15077640.000000	1					elapsed_seconds=0.527966
hi_n10000-139-s853540834c4988260.ukp	faithful	ok	1	0.023710	511717322.000000	4988256.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.030327 last_stop_reason=
hi_n10000-139-s853540834c4988260.ukp	ukp5	ok	1	0.260244	511717322.000000	4988256.000000	1					elapsed_seconds=0.312133
hi_n10000-13-s204947608c51012814.ukp	faithful	ok	1	0.245018	9071474376.000000	51012799.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.251227 last_stop_reason=
hi_n10000-13-s204947608c51012814.ukp	ukp5	ok	1	0.592609	9071474376.000000	51012799.000000	1					elapsed_seconds=0.880633
hi_n10000-140-s158609986c21267747.ukp	faithful	ok	1	0.107502	3265252138.000000	21267716.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.112952 last_stop_reason=
hi_n10000-140-s158609986c21267747.ukp	ukp5	ok	1	0.327231	3265252138.000000	21267716.000000	1					elapsed_seconds=0.449738
hi_n10000-141-s676413851c80980341.ukp	faithful	ok	1	0.380174	8272566149.000000	80980241.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.385861 last_stop_reason=
hi_n10000-141-s676413851c80980341.ukp	ukp5	ok	1	0.923419	8272566149.000000	80980241.000000	1					elapsed_seconds=1.462334
hi_n10000-142-s445508302c42869767.ukp	faithful	ok	1	0.634834	5805386659.000000	42869714.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.642550 last_stop_reason=
hi_n10000-142-s445508302c42869767.ukp	ukp5	ok	1	0.645621	5805386659.000000	42869714.000000	1					elapsed_seconds=0.986735
hi_n10000-143-s648685815c71175596.ukp	faithful	ok	1	0.159168	13813271832.000000	71175565.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.168172 last_stop_reason=
hi_n10000-143-s648685815c71175596.ukp	ukp5	ok	1	0.759689	13813271832.000000	71175565.000000	1					elapsed_seconds=1.176793
hi_n10000-144-s886468679c14985291.ukp	faithful	ok	1	0.096394	2168028929.000000	14985291.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.103576 last_stop_reason=
hi_n10000-144-s886468679c14985291.ukp	ukp5	ok	1	0.513261	2168028929.000000	14985291.000000	1					elapsed_seconds=0.645834
hi_n10000-145-s156741052c37925648.ukp	faithful	ok	1	0.248660	4098127899.000000	37925574.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.260357 last_stop_reason=
hi_n10000-145-s156741052c37925648.ukp	ukp5	ok	1	0.558660	4098127899.000000	37925574.000000	1					elapsed_seconds=0.823228
