# EDUK2 solver execution report
# generated_at: 2026-08-24T21:12:30-03:00
# primary_time: internal_seconds (average over successful runs)
instance	algorithm	status	runs	internal_seconds	profit	weight	optimal	verified	states_scanned	points_generated	bb_nodes	details
ss_wmin10000wmax100000n1000-5-s110877071c784914.ukp	faithful	ok	1	0.001611	784914.000000	784914.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.005762 last_stop_reason=
ss_wmin10000wmax100000n1000-5-s110877071c784914.ukp	ukp5	ok	1	0.002363	784914.000000	784914.000000	1					elapsed_seconds=0.010718
ss_wmin10000wmax100000n1000-6-s227708629c511609.ukp	faithful	ok	1	0.002485	511609.000000	511609.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.006460 last_stop_reason=
ss_wmin10000wmax100000n1000-6-s227708629c511609.ukp	ukp5	ok	1	0.002402	511609.000000	511609.000000	1					elapsed_seconds=0.009984
ss_wmin10000wmax100000n1000-7-s177710744c657882.ukp	faithful	ok	1	0.002383	657882.000000	657882.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.006485 last_stop_reason=
ss_wmin10000wmax100000n1000-7-s177710744c657882.ukp	ukp5	ok	1	0.001496	657882.000000	657882.000000	1					elapsed_seconds=0.007926
ss_wmin10000wmax100000n1000-8-s991580855c964354.ukp	faithful	ok	1	0.002498	964354.000000	964354.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.006717 last_stop_reason=
ss_wmin10000wmax100000n1000-8-s991580855c964354.ukp	ukp5	ok	1	0.002403	964354.000000	964354.000000	1					elapsed_seconds=0.011394
ss_wmin10000wmax100000n1000-9-s126456688c785284.ukp	faithful	ok	1	0.001929	785284.000000	785284.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.005948 last_stop_reason=
ss_wmin10000wmax100000n1000-9-s126456688c785284.ukp	ukp5	ok	1	0.002347	785284.000000	785284.000000	1					elapsed_seconds=0.010679
ss_wmin10000wmax100000n2000-0-s827183242c854573.ukp	faithful	ok	1	0.001949	854573.000000	854573.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.006030 last_stop_reason=
ss_wmin10000wmax100000n2000-0-s827183242c854573.ukp	ukp5	ok	1	0.002490	854573.000000	854573.000000	1					elapsed_seconds=0.011961
ss_wmin10000wmax100000n2000-1-s843367405c605138.ukp	faithful	ok	1	0.002068	605138.000000	605138.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.006250 last_stop_reason=
ss_wmin10000wmax100000n2000-1-s843367405c605138.ukp	ukp5	ok	1	0.002442	605138.000000	605138.000000	1					elapsed_seconds=0.011255
ss_wmin10000wmax100000n2000-2-s528806317c982859.ukp	faithful	ok	1	0.002101	982859.000000	982859.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.006418 last_stop_reason=
ss_wmin10000wmax100000n2000-2-s528806317c982859.ukp	ukp5	ok	1	0.002083	982859.000000	982859.000000	1					elapsed_seconds=0.011007
ss_wmin10000wmax100000n2000-3-s780179313c724146.ukp	faithful	ok	1	0.004211	724146.000000	724146.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.008449 last_stop_reason=
ss_wmin10000wmax100000n2000-3-s780179313c724146.ukp	ukp5	ok	1	0.002651	724146.000000	724146.000000	1					elapsed_seconds=0.011291
ss_wmin10000wmax100000n2000-4-s721215008c924632.ukp	faithful	ok	1	0.001951	924632.000000	924632.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.006204 last_stop_reason=
ss_wmin10000wmax100000n2000-4-s721215008c924632.ukp	ukp5	ok	1	0.002455	924632.000000	924632.000000	1					elapsed_seconds=0.012343
ss_wmin10000wmax100000n2000-5-s110877071c528906.ukp	faithful	ok	1	0.002179	528906.000000	528906.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.006506 last_stop_reason=
ss_wmin10000wmax100000n2000-5-s110877071c528906.ukp	ukp5	ok	1	0.001602	528906.000000	528906.000000	1					elapsed_seconds=0.008661
ss_wmin10000wmax100000n2000-6-s227708629c580821.ukp	faithful	ok	1	0.002064	580821.000000	580821.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.006362 last_stop_reason=
ss_wmin10000wmax100000n2000-6-s227708629c580821.ukp	ukp5	ok	1	0.002457	580821.000000	580821.000000	1					elapsed_seconds=0.010966
ss_wmin10000wmax100000n2000-7-s177710744c718599.ukp	faithful	ok	1	0.001499	718599.000000	718599.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.005932 last_stop_reason=
ss_wmin10000wmax100000n2000-7-s177710744c718599.ukp	ukp5	ok	1	0.002607	718599.000000	718599.000000	1					elapsed_seconds=0.011896
ss_wmin10000wmax100000n2000-8-s991580855c775538.ukp	faithful	ok	1	0.002030	775538.000000	775538.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.006392 last_stop_reason=
ss_wmin10000wmax100000n2000-8-s991580855c775538.ukp	ukp5	ok	1	0.002608	775538.000000	775538.000000	1					elapsed_seconds=0.011537
ss_wmin10000wmax100000n2000-9-s126456688c833361.ukp	faithful	ok	1	0.000583	833361.000000	833361.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.004868 last_stop_reason=
ss_wmin10000wmax100000n2000-9-s126456688c833361.ukp	ukp5	ok	1	0.001699	833361.000000	833361.000000	1					elapsed_seconds=0.010210
ss_wmin10000wmax100000n5000-0-s827183242c797054.ukp	faithful	ok	1	0.004950	797054.000000	797054.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.009345 last_stop_reason=
ss_wmin10000wmax100000n5000-0-s827183242c797054.ukp	ukp5	ok	1	0.001996	797054.000000	797054.000000	1					elapsed_seconds=0.013323
ss_wmin10000wmax100000n5000-1-s843367405c616321.ukp	faithful	ok	1	0.001630	616321.000000	616321.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.006191 last_stop_reason=
ss_wmin10000wmax100000n5000-1-s843367405c616321.ukp	ukp5	ok	1	0.002030	616321.000000	616321.000000	1					elapsed_seconds=0.012665
