# EDUK2 solver execution report
# generated_at: 2026-08-24T14:39:18-03:00
instance	algorithm	status	runs	elapsed_seconds	profit	weight	optimal	verified	states_scanned	points_generated	bb_nodes	details
hi_n5000-28-s882501307c3244282.ukp	ukp5	ok	1	0,057839	862122117,000000	3244278,000000	1					internal_seconds=0.0332767
hi_n5000-38-s527753500c6354493.ukp	faithful	ok	1	0,042394	1713132680,000000	6354492,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
hi_n5000-38-s527753500c6354493.ukp	ukp5	ok	1	0,090795	1713132680,000000	6354492,000000	1					internal_seconds=0.0521124
hi_n5000-3-s300958364c5172202.ukp	faithful	ok	1	0,011177	1146982045,000000	5171915,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
hi_n5000-3-s300958364c5172202.ukp	ukp5	ok	1	0,081052	1146982045,000000	5171915,000000	1					internal_seconds=0.045785
hi_n5000-45-s19378828c1766445.ukp	faithful	ok	1	0,009239	556615780,000000	1766008,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
hi_n5000-45-s19378828c1766445.ukp	ukp5	ok	1	0,042587	556615780,000000	1766008,000000	1					internal_seconds=0.025322
hi_n5000-54-s539601603c8383254.ukp	faithful	ok	1	0,025546	2358857386,000000	8383248,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
hi_n5000-54-s539601603c8383254.ukp	ukp5	ok	1	0,119208	2358857386,000000	8383248,000000	1					internal_seconds=0.0672762
hi_n5000-5-s554525798c945504.ukp	faithful	ok	1	0,016883	260871883,000000	945460,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
hi_n5000-5-s554525798c945504.ukp	ukp5	ok	1	0,034269	260871883,000000	945460,000000	1					internal_seconds=0.0198913
hi_n5000-61-s891640290c2917193.ukp	faithful	ok	1	0,041073	807430644,000000	2917192,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
hi_n5000-61-s891640290c2917193.ukp	ukp5	ok	1	0,055486	807430644,000000	2917192,000000	1					internal_seconds=0.030733
hi_n5000-75-s377669997c4055087.ukp	faithful	ok	1	0,016162	1210753267,000000	4055040,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
hi_n5000-75-s377669997c4055087.ukp	ukp5	ok	1	0,065159	1210753267,000000	4055040,000000	1					internal_seconds=0.0362415
hi_n5000-82-s7449337c5304125.ukp	faithful	ok	1	0,046519	1248733941,000000	5304100,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
hi_n5000-82-s7449337c5304125.ukp	ukp5	ok	1	0,075978	1248733941,000000	5304100,000000	1					internal_seconds=0.0436793
hi_n5000-91-s580479505c8860854.ukp	faithful	ok	1	0,046379	2774310325,000000	8860854,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
hi_n5000-91-s580479505c8860854.ukp	ukp5	ok	1	0,091893	2774310325,000000	8860854,000000	1					internal_seconds=0.0480551
hi_n5000-99-s190469618c4183453.ukp	faithful	ok	1	0,012986	1052468240,000000	4182920,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
hi_n5000-99-s190469618c4183453.ukp	ukp5	ok	1	0,068541	1052468240,000000	4182920,000000	1					internal_seconds=0.0383286
nsds2_n20000wmin20000-105-s723015531c1439153.ukp	faithful	ok	1	0,037338	1828592,000000	1439137,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n20000wmin20000-105-s723015531c1439153.ukp	ukp5	ok	1	0,454026	1828592,000000	1439137,000000	1					internal_seconds=0.425961
nsds2_n20000wmin20000-14-s577520629c1195421.ukp	faithful	ok	1	0,028602	1516112,000000	1195418,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n20000wmin20000-14-s577520629c1195421.ukp	ukp5	ok	1	0,493060	1516112,000000	1195418,000000	1					internal_seconds=0.465821
nsds2_n20000wmin20000-27-s352626512c1649991.ukp	faithful	ok	1	0,016074	2089325,000000	1649989,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n20000wmin20000-27-s352626512c1649991.ukp	ukp5	ok	1	0,202951	2089325,000000	1649989,000000	1					internal_seconds=0.174763
nsds2_n20000wmin20000-48-s193021599c1342753.ukp	faithful	ok	1	0,055935	1697330,000000	1342738,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n20000wmin20000-48-s193021599c1342753.ukp	ukp5	ok	1	0,460523	1697330,000000	1342738,000000	1					internal_seconds=0.433517
nsds2_n20000wmin20000-4-s135458708c1496815.ukp	faithful	ok	1	0,037533	1896840,000000	1496811,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n20000wmin20000-4-s135458708c1496815.ukp	ukp5	ok	1	0,286788	1896840,000000	1496811,000000	1					internal_seconds=0.258819
nsds2_n20000wmin20000-59-s198519773c1384939.ukp	faithful	ok	1	0,032691	1751509,000000	1384918,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n20000wmin20000-59-s198519773c1384939.ukp	ukp5	ok	1	0,232921	1751509,000000	1384918,000000	1					internal_seconds=0.206041
nsds2_n20000wmin20000-80-s972099972c1431774.ukp	faithful	ok	1	0,169255	1816166,000000	1431721,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n20000wmin20000-80-s972099972c1431774.ukp	ukp5	ok	1	0,585574	1816166,000000	1431721,000000	1					internal_seconds=0.556575
nsds2_n20000wmin50000-145-s248156760c1718879.ukp	faithful	ok	1	0,029747	2219666,000000	1718816,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n20000wmin50000-145-s248156760c1718879.ukp	ukp5	ok	1	0,729076	2219666,000000	1718816,000000	1					internal_seconds=0.700249
nsds2_n20000wmin50000-162-s666650214c1698897.ukp	faithful	ok	1	0,033480	2166492,000000	1698872,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n20000wmin50000-162-s666650214c1698897.ukp	ukp5	ok	1	0,659762	2166492,000000	1698872,000000	1					internal_seconds=0.631867
nsds2_n20000wmin50000-23-s327529482c1818360.ukp	faithful	ok	1	0,059123	2343753,000000	1818341,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n20000wmin50000-23-s327529482c1818360.ukp	ukp5	ok	1	0,646126	2343753,000000	1818341,000000	1					internal_seconds=0.616824
nsds2_n20000wmin50000-33-s104835463c1137779.ukp	faithful	ok	1	0,089573	1461040,000000	1137748,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n20000wmin50000-33-s104835463c1137779.ukp	ukp5	ok	1	0,617902	1461040,000000	1137748,000000	1					internal_seconds=0.59324
nsds2_n50000wmin50000-150-s810086031c1242628.ukp	faithful	ok	1	0,777561	3720705,000000	1242622,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n50000wmin50000-150-s810086031c1242628.ukp	ukp5	ok	1	3,041750	3720705,000000	1242622,000000	1					internal_seconds=2.99066
nsds2_n50000wmin50000-157-s852514704c1577913.ukp	faithful	ok	1	0,419243	4770082,000000	1577911,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n50000wmin50000-157-s852514704c1577913.ukp	ukp5	ok	1	3,086889	4770082,000000	1577911,000000	1					internal_seconds=3.03313
nsds2_n50000wmin50000-188-s865461609c1944509.ukp	faithful	ok	1	0,102146	5916002,000000	1944504,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n50000wmin50000-188-s865461609c1944509.ukp	ukp5	ok	1	3,737670	5916002,000000	1944504,000000	1					internal_seconds=3.67492
nsds2_n50000wmin50000-1-s720843886c1834312.ukp	faithful	ok	1	0,158086	5575777,000000	1834303,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n50000wmin50000-1-s720843886c1834312.ukp	ukp5	ok	1	4,225573	5575777,000000	1834303,000000	1					internal_seconds=4.16217
nsds2_n50000wmin50000-5-s999292130c1082699.ukp	faithful	ok	1	0,921121	3217553,000000	1082679,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n50000wmin50000-5-s999292130c1082699.ukp	ukp5	ok	1	3,109697	3217553,000000	1082679,000000	1					internal_seconds=3.05121
saw_n100000wmin10000-183-s747594435c4609379.ukp	faithful	ok	1	0,044426	4609838,000000	4609379,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-183-s747594435c4609379.ukp	ukp5	ok	1	3,711943	4609838,000000	4609379,000000	1					internal_seconds=3.60965
saw_n100000wmin10000-190-s732167413c7827673.ukp	faithful	ok	1	0,044948	7830800,000000	7827673,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-190-s732167413c7827673.ukp	ukp5	ok	1	3,913544	7830800,000000	7827673,000000	1					internal_seconds=3.79709
