# EDUK2 solver execution report
# generated_at: 2026-08-23T23:23:32-03:00
instance	algorithm	status	runs	elapsed_seconds	profit	weight	optimal	verified	states_scanned	points_generated	bb_nodes	details
saw_n100000wmin10000-112-s297378316c1672028.ukp	faithful	ok	1	0,123814	1672360,000000	1672028,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-112-s297378316c1672028.ukp	ocaml_pyasukpt	ok	1	1,313884	1672360,000000		0,000000			189880,000000	10001,000000	Saw ukp        882 false         96     189880 false         1672360    1.28684 10001
saw_n100000wmin10000-113-s110716259c6478540.ukp	faithful	ok	1	0,053904	6481774,000000	6478540,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-113-s110716259c6478540.ukp	ocaml_pyasukpt	ok	1	25,537530	6481774,000000		0,000000			688930,000000	10001,000000	Saw ukp       4215 true          1     688930 false         6481774   25.49734 10001
saw_n100000wmin10000-114-s85651655c4859024.ukp	faithful	ok	1	1,337149	4859507,000000	4859024,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-114-s85651655c4859024.ukp	ocaml_pyasukpt	ok	1	44,074212	4859507,000000		0,000000			1375808,000000	10001,000000	Saw ukp       5672 true          1    1375808 false         4859507   44.01720 10001
saw_n100000wmin10000-115-s907590258c9411304.ukp	faithful	ok	1	0,049575	9415059,000000	9411304,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-115-s907590258c9411304.ukp	ocaml_pyasukpt	ok	1	2,574706	9415059,000000		0,000000			226022,000000	10001,000000	Saw ukp       1375 true          1     226022 false         9415059    2.55255 10001
saw_n100000wmin10000-116-s351016804c4711283.ukp	faithful	ok	1	2,517469	4713631,000000	4711282,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-116-s351016804c4711283.ukp	ocaml_pyasukpt	ok	1	47,773374	4713631,000000		0,000000			1588325,000000	10001,000000	Saw ukp       5557 true          1    1588325 false         4713631   47.71601 10001
saw_n100000wmin10000-117-s769623248c4290992.ukp	faithful	ok	1	0,055899	4292703,000000	4290992,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-117-s769623248c4290992.ukp	ocaml_pyasukpt	ok	1	14,817702	4292703,000000		0,000000			513464,000000	10001,000000	Saw ukp       3139 true          1     513464 false         4292703   14.78816 10001
saw_n100000wmin10000-118-s763370805c9434309.ukp	faithful	ok	1	0,049305	9435250,000000	9434309,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-118-s763370805c9434309.ukp	ocaml_pyasukpt	ok	1	26,735446	9435250,000000		0,000000			754847,000000	10001,000000	Saw ukp       4633 true          1     754847 false         9435250   26.70540 10001
saw_n100000wmin10000-119-s79600410c2782763.ukp	faithful	ok	1	0,063456	2783039,000000	2782763,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-119-s79600410c2782763.ukp	ocaml_pyasukpt	ok	1	0,049739	2783039,000000		0,000000			2379,000000	111,000000	Saw ukp         16 true          1       2379 false         2783039    0.02934 111
saw_n100000wmin10000-11-s727046990c9843883.ukp	faithful	ok	1	0,049022	9844864,000000	9843883,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-11-s727046990c9843883.ukp	ocaml_pyasukpt	ok	1	2,573525	9844864,000000		0,000000			199083,000000	4571,000000	Saw ukp       1238 true          1     199083 false         9844864    2.54830 4571
saw_n100000wmin10000-120-s606236528c1218220.ukp	faithful	ok	1	0,050214	1218703,000000	1218220,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-120-s606236528c1218220.ukp	ocaml_pyasukpt	ok	1	14,451857	1218703,000000		0,000000			312311,000000	10001,000000	Saw ukp       4105 false       1358     312311 false         1218703   14.41264 10001
saw_n100000wmin10000-121-s620005630c9578674.ukp	faithful	ok	1	1,936242	9579627,000000	9578673,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-121-s620005630c9578674.ukp	ocaml_pyasukpt	ok	1	46,651778	9579627,000000		0,000000			1746174,000000	10001,000000	Saw ukp       5640 true          1    1746174 false         9579627   46.60095 10001
saw_n100000wmin10000-122-s823015612c4065122.ukp	faithful	ok	1	0,049490	4066339,000000	4065122,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-122-s823015612c4065122.ukp	ocaml_pyasukpt	ok	1	10,246517	4066339,000000		0,000000			416484,000000	10001,000000	Saw ukp       2582 true          1     416484 false         4066339   10.21442 10001
saw_n100000wmin10000-123-s64519122c3988675.ukp	faithful	ok	1	0,054073	3989868,000000	3988675,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-123-s64519122c3988675.ukp	ocaml_pyasukpt	ok	1	24,195569	3989868,000000		0,000000			692450,000000	10001,000000	Saw ukp       4235 true          1     692450 false         3989868   24.16206 10001
saw_n100000wmin10000-124-s498464196c1508517.ukp	faithful	ok	1	0,452067	1508815,000000	1508517,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-124-s498464196c1508517.ukp	ocaml_pyasukpt	ok	1	10,210702	1508815,000000		0,000000			508073,000000	10001,000000	Saw ukp       2553 false        530     508073 false         1508815   10.17875 10001
saw_n100000wmin10000-125-s668942050c3111361.ukp	faithful	ok	1	0,049350	3111671,000000	3111361,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-125-s668942050c3111361.ukp	ocaml_pyasukpt	ok	1	0,963175	3111671,000000		0,000000			118382,000000	1775,000000	Saw ukp        727 true          1     118382 false         3111671    0.93339 1775
saw_n100000wmin10000-126-s87392891c8242494.ukp	faithful	ok	1	0,050495	8244137,000000	8242494,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-126-s87392891c8242494.ukp	ocaml_pyasukpt	ok	1	5,811233	8244137,000000		0,000000			312514,000000	10001,000000	Saw ukp       1931 true          1     312514 false         8244137    5.78858 10001
saw_n100000wmin10000-127-s672906462c2380958.ukp	faithful	ok	1	0,049683	2381671,000000	2380958,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-127-s672906462c2380958.ukp	ocaml_pyasukpt	ok	1	0,294590	2381671,000000		0,000000			62587,000000	2194,000000	Saw ukp        393 true          1      62587 false         2381671    0.27224 2194
saw_n100000wmin10000-128-s218611170c9980008.ukp	faithful	ok	1	0,053462	9981004,000000	9980008,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-128-s218611170c9980008.ukp	ocaml_pyasukpt	ok	1	15,662086	9981004,000000		0,000000			518426,000000	10001,000000	Saw ukp       3182 true          1     518426 false         9981004   15.62745 10001
saw_n100000wmin10000-129-s511316161c5695434.ukp	faithful	ok	1	0,177765	5696570,000000	5695434,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-129-s511316161c5695434.ukp	ocaml_pyasukpt	ok	1	2,551948	5696570,000000		0,000000			312340,000000	10001,000000	Saw ukp       1258 true          1     312340 false         5696570    2.52153 10001
saw_n100000wmin10000-12-s1910782c7694198.ukp	faithful	ok	1	0,048052	7696504,000000	7694198,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-12-s1910782c7694198.ukp	ocaml_pyasukpt	ok	1	0,557824	7696504,000000		0,000000			94606,000000	4709,000000	Saw ukp        591 true          1      94606 false         7696504    0.53203 4709
saw_n100000wmin10000-130-s954430818c9603069.ukp	faithful	ok	1	1,218525	9606903,000000	9603069,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-130-s954430818c9603069.ukp	ocaml_pyasukpt	ok	1	22,454074	9606903,000000		0,000000			1010566,000000	10001,000000	Saw ukp       3700 true          1    1010566 false         9606903   22.40655 10001
saw_n100000wmin10000-131-s316987425c7637058.ukp	faithful	ok	1	0,089998	7637819,000000	7637058,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-131-s316987425c7637058.ukp	ocaml_pyasukpt	ok	1	35,028478	7637819,000000		0,000000			938501,000000	10001,000000	Saw ukp       5477 true          1     938501 false         7637819   34.98747 10001
saw_n100000wmin10000-132-s777737840c9839641.ukp	faithful	ok	1	0,902169	9840622,000000	9839641,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-132-s777737840c9839641.ukp	ocaml_pyasukpt	ok	1	42,161985	9840622,000000		0,000000			1297600,000000	10001,000000	Saw ukp       5557 true          1    1297600 false         9840622   42.10723 10001
saw_n100000wmin10000-133-s630160686c9878556.ukp	faithful	ok	1	0,049835	9880529,000000	9878556,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-133-s630160686c9878556.ukp	ocaml_pyasukpt	ok	1	5,705095	9880529,000000		0,000000			313853,000000	10001,000000	Saw ukp       1918 true          1     313853 false         9880529    5.68131 10001
