# EDUK2 solver execution report
# generated_at: 2026-08-24T18:59:49-03:00
# primary_time: internal_seconds (average over successful runs)
instance	algorithm	status	runs	internal_seconds	profit	weight	optimal	verified	states_scanned	points_generated	bb_nodes	details
sc_a-5n10000wmin10000-16-c7075896.ukp	ukp5	ok	1	0.062770	7074126.000000	7075896.000000	1					elapsed_seconds=0.092317
sc_a-5n10000wmin10000-17-c3113635.ukp	faithful	ok	1	0.010515	3112855.000000	3113635.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.015603 last_stop_reason=
sc_a-5n10000wmin10000-17-c3113635.ukp	ukp5	ok	1	0.062092	3112855.000000	3113635.000000	1					elapsed_seconds=0.081941
sc_a5n10000wmin10000-17-c6726204.ukp	faithful	ok	1	0.003003	6729564.000000	6726204.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.007758 last_stop_reason=
sc_a5n10000wmin10000-17-c6726204.ukp	ukp5	ok	1	0.037308	6729564.000000	6726204.000000	1					elapsed_seconds=0.065439
sc_a5n10000wmin10000-18-c7262586.ukp	faithful	ok	1	0.003149	7266216.000000	7262586.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.008397 last_stop_reason=
sc_a5n10000wmin10000-18-c7262586.ukp	ukp5	ok	1	0.036625	7266216.000000	7262586.000000	1					elapsed_seconds=0.065674
sc_a-5n10000wmin10000-18-c7595045.ukp	faithful	ok	1	0.004403	7593145.000000	7595045.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.009354 last_stop_reason=
sc_a-5n10000wmin10000-18-c7595045.ukp	ukp5	ok	1	0.065774	7593145.000000	7595045.000000	1					elapsed_seconds=0.097497
sc_a5n10000wmin10000-19-c2075673.ukp	faithful	ok	1	0.003324	2076708.000000	2075673.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.016733 last_stop_reason=
sc_a5n10000wmin10000-19-c2075673.ukp	ukp5	ok	1	0.036830	2076708.000000	2075673.000000	1					elapsed_seconds=0.055369
sc_a-5n10000wmin10000-19-c7418686.ukp	faithful	ok	1	0.002780	7416831.000000	7418686.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.007675 last_stop_reason=
sc_a-5n10000wmin10000-19-c7418686.ukp	ukp5	ok	1	0.066149	7416831.000000	7418686.000000	1					elapsed_seconds=0.097808
sc_a-5n10000wmin10000-1-c5766266.ukp	faithful	ok	1	0.215026	5764821.000000	5766266.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.220158 last_stop_reason=
sc_a-5n10000wmin10000-1-c5766266.ukp	ukp5	ok	1	0.062498	5764821.000000	5766266.000000	1					elapsed_seconds=0.089421
