# EDUK2 solver execution report
# generated_at: 2026-08-24T11:02:19-03:00
instance	algorithm	status	runs	elapsed_seconds	profit	weight	optimal	verified	states_scanned	points_generated	bb_nodes	details
hi_n10000-112-s192471812c88769444.ukp	faithful	ok	1	0,196269	9746226137,000000	88769313,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
hi_n10000-112-s192471812c88769444.ukp	ocaml_pyasukpt	ok	1	0,933525	9746226137,000000		0,000000			704498,000000	10001,000000	Not a Saw ukp       5573 true          1     704498 false      9746226137    0.91736 10001
hi_n10000-113-s992980497c45420750.ukp	faithful	ok	1	0,103870	4569770267,000000	45420738,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
hi_n10000-113-s992980497c45420750.ukp	ocaml_pyasukpt	ok	1	0,661188	4569770267,000000		0,000000			270135,000000	10001,000000	Not a Saw ukp       4964 true          1     270135 false      4569770267    0.64595 10001
hi_n10000-114-s455861864c29391418.ukp	faithful	ok	1	0,081032	4272927082,000000	29391282,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
hi_n10000-114-s455861864c29391418.ukp	ocaml_pyasukpt	ok	1	0,617322	4272927082,000000		0,000000			206750,000000	10001,000000	Not a Saw ukp       4646 true          1     206750 false      4272927082    0.60678 10001
hi_n10000-115-s379824190c18555434.ukp	faithful	ok	1	0,114312	2543845350,000000	18555422,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
hi_n10000-115-s379824190c18555434.ukp	ocaml_pyasukpt	ok	1	1,677994	2543845350,000000		0,000000			186370,000000	10001,000000	Not a Saw ukp       8043 true          1     186370 false      2543845350    1.66730 10001
hi_n10000-116-s239745902c72714935.ukp	faithful	ok	1	0,225231	10634593223,000000	72714921,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
hi_n10000-116-s239745902c72714935.ukp	ocaml_pyasukpt	ok	1	1,751368	10634593223,000000		0,000000			807045,000000	10001,000000	Not a Saw ukp       7926 true          1     807045 false     10634593223    1.73047 10001
hi_n10000-117-s248366140c20581375.ukp	faithful	ok	1	0,150817	2992871549,000000	20581368,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
hi_n10000-117-s248366140c20581375.ukp	ocaml_pyasukpt	ok	1	2,008481	2992871549,000000		0,000000			228662,000000	10001,000000	Not a Saw ukp       8516 true          1     228662 false      2992871549    1.99697 10001
hi_n10000-118-s155606980c62289029.ukp	faithful	ok	1	0,086754	8283461875,000000	62289007,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
hi_n10000-118-s155606980c62289029.ukp	ocaml_pyasukpt	ok	1	0,120142	8283461875,000000		0,000000			118361,000000	10001,000000	Not a Saw ukp       1104 false          3     118361 false      8283461875    0.10886 10001
hi_n10000-119-s735284445c50409463.ukp	faithful	ok	1	0,107576	8160320476,000000	50409426,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
hi_n10000-119-s735284445c50409463.ukp	ocaml_pyasukpt	ok	1	0,432159	8160320476,000000		0,000000			400005,000000	10001,000000	Not a Saw ukp       3520 true          1     400005 false      8160320476    0.41613 10001
hi_n10000-11-s895832870c87027021.ukp	faithful	ok	1	0,329619	9488737552,000000	87027011,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
hi_n10000-11-s895832870c87027021.ukp	ocaml_pyasukpt	ok	1	1,069101	9488737552,000000		0,000000			1723599,000000	10001,000000	Not a Saw ukp       4152 true          1    1723599 false      9488737552    1.03428 10001
hi_n10000-120-s942541845c78856406.ukp	faithful	ok	1	0,154583	9120019953,000000	78856259,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
hi_n10000-120-s942541845c78856406.ukp	ocaml_pyasukpt	ok	1	0,287445	9120019953,000000		0,000000			561461,000000	10001,000000	Not a Saw ukp       1895 true          1     561461 false      9120019953    0.26895 10001
hi_n10000-121-s115898593c15235637.ukp	faithful	ok	1	0,063111	2023051543,000000	15235558,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
