# EDUK2 solver execution report
# generated_at: 2026-08-24T15:29:07-03:00
instance	algorithm	status	runs	elapsed_seconds	profit	weight	optimal	verified	states_scanned	points_generated	bb_nodes	details
saw_n100000wmin10000-115-s907590258c9411304.ukp	faithful	ok	1	0,049870	9415059,000000	9411304,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-115-s907590258c9411304.ukp	ukp5	ok	1	4,213538	9415059,000000	9411304,000000	1					internal_seconds=4.0876
saw_n100000wmin10000-116-s351016804c4711283.ukp	faithful	ok	1	1,537266	4713631,000000	4711282,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-116-s351016804c4711283.ukp	ukp5	ok	1	4,740837	4713631,000000	4711282,000000	1					internal_seconds=4.61626
saw_n100000wmin10000-117-s769623248c4290992.ukp	faithful	ok	1	0,055915	4292703,000000	4290992,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-117-s769623248c4290992.ukp	ukp5	ok	1	4,386810	4292703,000000	4290992,000000	1					internal_seconds=4.28393
saw_n100000wmin10000-118-s763370805c9434309.ukp	faithful	ok	1	0,051009	9435250,000000	9434309,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-118-s763370805c9434309.ukp	ukp5	ok	1	5,044279	9435250,000000	9434309,000000	1					internal_seconds=4.91263
saw_n100000wmin10000-119-s79600410c2782763.ukp	faithful	ok	1	0,067798	2783039,000000	2782763,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-119-s79600410c2782763.ukp	ukp5	ok	1	4,772076	2783039,000000	2782763,000000	1					internal_seconds=4.65542
saw_n100000wmin10000-11-s727046990c9843883.ukp	faithful	ok	1	0,054262	9844864,000000	9843883,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-11-s727046990c9843883.ukp	ukp5	ok	1	4,231011	9844864,000000	9843883,000000	1					internal_seconds=4.10575
saw_n100000wmin10000-120-s606236528c1218220.ukp	faithful	ok	1	0,068071	1218703,000000	1218220,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-120-s606236528c1218220.ukp	ukp5	ok	1	4,175416	1218703,000000	1218220,000000	1					internal_seconds=4.07134
saw_n100000wmin10000-121-s620005630c9578674.ukp	faithful	ok	1	1,084829	9579627,000000	9578673,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-121-s620005630c9578674.ukp	ukp5	ok	1	4,196740	9579627,000000	9578673,000000	1					internal_seconds=4.05839
saw_n100000wmin10000-122-s823015612c4065122.ukp	faithful	ok	1	0,042025	4066339,000000	4065122,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-122-s823015612c4065122.ukp	ukp5	ok	1	3,943586	4066339,000000	4065122,000000	1					internal_seconds=3.84273
saw_n100000wmin10000-123-s64519122c3988675.ukp	faithful	ok	1	0,049959	3989868,000000	3988675,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-123-s64519122c3988675.ukp	ukp5	ok	1	4,254461	3989868,000000	3988675,000000	1					internal_seconds=4.1499
saw_n100000wmin10000-124-s498464196c1508517.ukp	faithful	ok	1	0,290726	1508815,000000	1508517,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-124-s498464196c1508517.ukp	ukp5	ok	1	5,381360	1508815,000000	1508516,000000	1					internal_seconds=5.26632
saw_n100000wmin10000-125-s668942050c3111361.ukp	faithful	ok	1	0,056181	3111671,000000	3111361,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-125-s668942050c3111361.ukp	ukp5	ok	1	4,639956	3111671,000000	3111361,000000	1					internal_seconds=4.51984
saw_n100000wmin10000-126-s87392891c8242494.ukp	faithful	ok	1	0,049125	8244137,000000	8242494,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-126-s87392891c8242494.ukp	ukp5	ok	1	4,136551	8244137,000000	8242494,000000	1					internal_seconds=4.0205
saw_n100000wmin10000-127-s672906462c2380958.ukp	faithful	ok	1	0,051727	2381671,000000	2380958,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-127-s672906462c2380958.ukp	ukp5	ok	1	4,450386	2381671,000000	2380958,000000	1					internal_seconds=4.34876
saw_n100000wmin10000-128-s218611170c9980008.ukp	faithful	ok	1	0,063919	9981004,000000	9980008,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-128-s218611170c9980008.ukp	ukp5	ok	1	5,090491	9981004,000000	9980008,000000	1					internal_seconds=4.95479
saw_n100000wmin10000-129-s511316161c5695434.ukp	faithful	ok	1	0,126648	5696570,000000	5695434,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-129-s511316161c5695434.ukp	ukp5	ok	1	4,475267	5696570,000000	5695434,000000	1					internal_seconds=4.36738
saw_n100000wmin10000-12-s1910782c7694198.ukp	faithful	ok	1	0,051647	7696504,000000	7694198,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-12-s1910782c7694198.ukp	ukp5	ok	1	4,425823	7696504,000000	7694198,000000	1					internal_seconds=4.31252
saw_n100000wmin10000-130-s954430818c9603069.ukp	faithful	ok	1	0,541898	9606903,000000	9603069,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-130-s954430818c9603069.ukp	ukp5	ok	1	4,357863	9606903,000000	9603068,000000	1					internal_seconds=4.2338
saw_n100000wmin10000-131-s316987425c7637058.ukp	faithful	ok	1	0,092957	7637819,000000	7637058,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-131-s316987425c7637058.ukp	ukp5	ok	1	5,187851	7637819,000000	7637057,000000	1					internal_seconds=5.04001
saw_n100000wmin10000-132-s777737840c9839641.ukp	faithful	ok	1	0,459612	9840622,000000	9839641,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-132-s777737840c9839641.ukp	ukp5	ok	1	4,062177	9840622,000000	9839640,000000	1					internal_seconds=3.94126
saw_n100000wmin10000-133-s630160686c9878556.ukp	faithful	ok	1	0,042725	9880529,000000	9878556,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-133-s630160686c9878556.ukp	ukp5	ok	1	4,276598	9880529,000000	9878556,000000	1					internal_seconds=4.15192
saw_n100000wmin10000-134-s179288817c9227906.ukp	faithful	ok	1	0,052401	9230668,000000	9227906,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-134-s179288817c9227906.ukp	ukp5	ok	1	4,709641	9230668,000000	9227906,000000	1					internal_seconds=4.58017
saw_n100000wmin10000-135-s575247940c2346916.ukp	faithful	ok	1	0,693671	2347148,000000	2346915,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
